file,line,name,parent,context,author,displayName,effective_author,credit_status
TAEGear\Armors\Customs\config.cpp,641,tae_teka_armor,tae_armor_medium,CfgWeapons,Teka,Teka's Pilot Armor,Teka,Explicit
TAEGear\Armors\Customs\config.cpp,661,tae_shyyyo_recon_armor,tae_armor_recon,CfgWeapons,Hondo,Shyyyo Recon Armor,Hondo,Explicit
TAEGear\Armors\Customs\config.cpp,683,tae_towi_armor,tae_nite_owl_armor,CfgWeapons,Jimothy,Towi's Nite Owl Armor,Jimothy,Explicit
TAEGear\Armors\Customs\config.cpp,696,tae_bingo_armor,tae_armor_battle,CfgWeapons,Jimothy,Bingo's Battle Armor,Jimothy,Explicit
TAEGear\Armors\Customs\config.cpp,709,tae_acklay_armor,tae_armor_ls_traditional,CfgWeapons,Edonn,Clan Acklay Armor,Edonn,Explicit
TAEGear\Armors\Customs\config.cpp,726,tae_acklay_niteowl_armor,tae_nite_owl_armor,CfgWeapons,Edonn,Clan Acklay Nite Owl Armor,Edonn,Explicit
TAEGear\Armors\Customs\config.cpp,746,tae_stasik_armor,tae_armor_traditional,CfgWeapons,Hondo,Stasik's Armor,Hondo,Explicit
TAEGear\Armors\Customs\config.cpp,767,tae_edonn_armor,tae_armor_ls_traditional,CfgWeapons,Edonn,Edonn's Armor,Edonn,Explicit
TAEGear\Armors\Customs\config.cpp,792,tae_frenk_armor,tae_armor_arbiter,CfgWeapons,Jimothy,Frenk's Arbiter Armor,Jimothy,Explicit
TAEGear\Armors\Customs\config.cpp,814,tae_nox_armor,tae_armor_heavy,CfgWeapons,Nox,Nox's Armor,Nox,Explicit
TAEGear\Armors\Customs\config.cpp,836,tae_jimothy_armor,tae_armor_heavy,CfgWeapons,Jimothy,Jimothy's Armor,Jimothy,Explicit
TAEGear\Armors\Customs\config.cpp,858,tae_foxx_armor,tae_armor_medium,CfgWeapons,Juno,Clan Foxx Armor,Juno,Explicit
TAEGear\Armors\Customs\config.cpp,878,tae_juno_armor,tae_armor_heavy,CfgWeapons,Juno,Juno's Heavy Armor,Juno,Explicit
TAEGear\Armors\Customs\config.cpp,898,tae_galaxy_armor,tae_armor_medium,CfgWeapons,Galaxy,Galaxy's Medium Armor,Galaxy,Explicit
TAEGear\Armors\Customs\config.cpp,919,tae_varen_recon_armor,tae_armor_recon,CfgWeapons,Valeria,Clan Varen Recon Armor,Valeria,Explicit
TAEGear\Armors\Customs\config.cpp,939,tae_varen_niteowl_armor,tae_nite_owl_armor,CfgWeapons,Valeria,Clan Varen Nite Owl Armor,Valeria,Explicit
TAEGear\Armors\Customs\config.cpp,961,tae_haranverd_traditional_armor,tae_armor_traditional,CfgWeapons,Sage,Clan Haranverd Traditional Armor,Sage,Explicit
TAEGear\Armors\Customs\config.cpp,982,tae_haranverd_niteowl_armor,tae_nite_owl_armor,CfgWeapons,Sage,Clan Haranverd Nite Owl Armor,Sage,Explicit
TAEGear\Armors\Customs\config.cpp,1004,tae_kyram_armor,tae_armor_traditional,CfgWeapons,Nova,Clan Kyr'am Traditional Armor,Nova,Explicit
TAEGear\Armors\Customs\config.cpp,1025,tae_rook_armor,tae_armor_battle,CfgWeapons,Nox,Clan Rook Battle Armor,Nox,Explicit
TAEGear\Armors\Customs\config.cpp,1045,tae_hades_armor,tae_armor_war_chief,CfgWeapons,Lanval,Hades' War Chief Armor,Lanval,Explicit
TAEGear\Armors\Customs\config.cpp,1065,tae_andora_armor,tae_nite_owl_armor,CfgWeapons,Jimothy,Andora's Nite Owl Armor,Jimothy,Explicit
TAEGear\Armors\Customs\config.cpp,1085,tae_goostivool_armor,tae_armor_ls_traditional,CfgWeapons,Nox,Goostivool's Armor,Nox,Explicit
TAEGear\Armors\Customs\config.cpp,1103,tae_shen_armor,tae_armor_arbiter,CfgWeapons,Hondo,Shen's Arbiter Armor,Hondo,Explicit
TAEGear\Backpacks\config.cpp,2,TAEGear_Backpacks,,CfgPatches,,,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,342,tae_jetpack,Bag_Base,CfgVehicles,,TAE base,,External inheritance / no local author
TAEGear\Backpacks\config.cpp,352,tae_jetpack_JT13,tae_jetpack,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr JT-13 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,371,tae_jetpack_JT13_LR,tae_jetpack_JT13,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr JT-13 LR Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,384,tae_jetpack_JT12,tae_jetpack,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr JT-12 Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,403,tae_jetpack_JT12_LR,tae_jetpack_JT12,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr JT-12 LR Jetpack,Kandosii Mod Devs and Edonn,Explicit
TAEGear\Backpacks\config.cpp,416,tae_jetpack_MSEJT4,KND_RotaryBackpack,CfgVehicles,Kandosii Mod Devs and Edonn,House Karr MS-EJT4 Jetpack,Kandosii Mod Devs and Edonn,Explicit
